"Hand (1st,2nd / Dealer's)",Current Money,Player Totals,Dealer Totals,Player 1st Card,Player 2nd Card,Dealer 1st Card,Dealer 2nd Card,Hit Count,Outcome,Double,Split,Player Hand,Overall Win,Overall Loss,Win Only,Loss Only,Bust,Dealer Bust,Blackjack,Push,Win Only %,Overall Win %,Overall Loss %,Dealer Bust %,Loss Only %,Bust %,Blackjack %,Push %
"10,10 / 10",2882,2882,2882,2882,2882,2882,2882,2882,2882,2882,2882,2882,1586,302,967,302,0,619,0,994,nan%,55.03%,10.48%,21.48%,10.48%,0.00%,0.00%,34.49%
"10,10 / 11",776,776,776,776,776,776,776,776,776,776,776,776,414,263,233,263,0,181,0,99,nan%,53.35%,33.89%,23.32%,33.89%,0.00%,0.00%,12.76%
"10,10 / 2",770,770,770,770,770,770,770,770,770,770,770,770,578,86,278,86,0,300,0,106,nan%,75.06%,11.17%,38.96%,11.17%,0.00%,0.00%,13.77%
"10,10 / 3",717,717,717,717,717,717,717,717,717,717,717,717,529,95,258,95,0,271,0,93,nan%,73.78%,13.25%,37.80%,13.25%,0.00%,0.00%,12.97%
"10,10 / 4",724,724,724,724,724,724,724,724,724,724,724,724,569,74,275,74,0,294,0,81,nan%,78.59%,10.22%,40.61%,10.22%,0.00%,0.00%,11.19%
"10,10 / 5",715,715,715,715,715,715,715,715,715,715,715,715,566,70,256,70,0,310,0,79,nan%,79.16%,9.79%,43.36%,9.79%,0.00%,0.00%,11.05%
"10,10 / 6",748,748,748,748,748,748,748,748,748,748,748,748,598,79,286,79,0,312,0,71,nan%,79.95%,10.56%,41.71%,10.56%,0.00%,0.00%,9.49%
"10,10 / 7",722,722,722,722,722,722,722,722,722,722,722,722,603,65,411,65,0,192,0,54,nan%,83.52%,9.00%,26.59%,9.00%,0.00%,0.00%,7.48%
"10,10 / 8",728,728,728,728,728,728,728,728,728,728,728,728,654,32,462,32,0,192,0,42,nan%,89.84%,4.40%,26.37%,4.40%,0.00%,0.00%,5.77%
"10,10 / 9",766,766,766,766,766,766,766,766,766,766,766,766,610,55,421,55,0,189,0,101,nan%,79.63%,7.18%,24.67%,7.18%,0.00%,0.00%,13.19%
"10,11 / 10",1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1404,1304,0,0,0,0,0,1304,100,nan%,92.88%,0.00%,0.00%,0.00%,0.00%,92.88%,7.12%
"10,11 / 11",396,396,396,396,396,396,396,396,396,396,396,396,274,0,0,0,0,0,274,122,nan%,69.19%,0.00%,0.00%,0.00%,0.00%,69.19%,30.81%
"10,11 / 2",373,373,373,373,373,373,373,373,373,373,373,373,373,0,0,0,0,0,373,0,nan%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 3",373,373,373,373,373,373,373,373,373,373,373,373,373,0,0,0,0,0,373,0,nan%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 4",346,346,346,346,346,346,346,346,346,346,346,346,346,0,0,0,0,0,346,0,nan%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 5",362,362,362,362,362,362,362,362,362,362,362,362,362,0,0,0,0,0,362,0,nan%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 6",329,329,329,329,329,329,329,329,329,329,329,329,329,0,0,0,0,0,329,0,nan%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 7",401,401,401,401,401,401,401,401,401,401,401,401,401,0,0,0,0,0,401,0,nan%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 8",338,338,338,338,338,338,338,338,338,338,338,338,338,0,0,0,0,0,338,0,nan%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"10,11 / 9",368,368,368,368,368,368,368,368,368,368,368,368,368,0,0,0,0,0,368,0,nan%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
"11,11 / 10",358,358,358,358,358,358,358,358,358,358,358,358,173,145,111,73,72,62,0,40,nan%,48.32%,40.50%,17.32%,20.39%,20.11%,0.00%,11.17%
"11,11 / 11",110,110,110,110,110,110,110,110,110,110,110,110,43,53,19,28,25,24,0,14,nan%,39.09%,48.18%,21.82%,25.45%,22.73%,0.00%,12.73%
"11,11 / 2",84,84,84,84,84,84,84,84,84,84,84,84,56,24,19,22,2,37,0,4,nan%,66.67%,28.57%,44.05%,26.19%,2.38%,0.00%,4.76%
"11,11 / 3",100,100,100,100,100,100,100,100,100,100,100,100,56,34,23,31,3,33,0,10,nan%,56.00%,34.00%,33.00%,31.00%,3.00%,0.00%,10.00%
"11,11 / 4",86,86,86,86,86,86,86,86,86,86,86,86,58,19,20,19,0,38,0,9,nan%,67.44%,22.09%,44.19%,22.09%,0.00%,0.00%,10.47%
"11,11 / 5",84,84,84,84,84,84,84,84,84,84,84,84,43,35,15,35,0,28,0,6,nan%,51.19%,41.67%,33.33%,41.67%,0.00%,0.00%,7.14%
"11,11 / 6",102,102,102,102,102,102,102,102,102,102,102,102,65,31,31,31,0,34,0,6,nan%,63.73%,30.39%,33.33%,30.39%,0.00%,0.00%,5.88%
"11,11 / 7",74,74,74,74,74,74,74,74,74,74,74,74,46,22,22,4,18,24,0,6,nan%,62.16%,29.73%,32.43%,5.41%,24.32%,0.00%,8.11%
"11,11 / 8",106,106,106,106,106,106,106,106,106,106,106,106,55,40,38,12,28,17,0,11,nan%,51.89%,37.74%,16.04%,11.32%,26.42%,0.00%,10.38%
"11,11 / 9",112,112,112,112,112,112,112,112,112,112,112,112,59,37,34,15,22,25,0,16,nan%,52.68%,33.04%,22.32%,13.39%,19.64%,0.00%,14.29%
"2,10 / 10",1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,329,998,185,291,707,144,0,124,nan%,22.67%,68.78%,9.92%,20.06%,48.73%,0.00%,8.55%
"2,10 / 11",353,353,353,353,353,353,353,353,353,353,353,353,89,251,47,73,178,42,0,13,nan%,25.21%,71.10%,11.90%,20.68%,50.42%,0.00%,3.68%
"2,10 / 2",362,362,362,362,362,362,362,362,362,362,362,362,122,229,42,108,121,80,0,11,nan%,33.70%,63.26%,22.10%,29.83%,33.43%,0.00%,3.04%
"2,10 / 3",351,351,351,351,351,351,351,351,351,351,351,351,133,201,33,97,104,100,0,17,nan%,37.89%,57.26%,28.49%,27.64%,29.63%,0.00%,4.84%
"2,10 / 4",382,382,382,382,382,382,382,382,382,382,382,382,168,214,0,214,0,168,0,0,nan%,43.98%,56.02%,43.98%,56.02%,0.00%,0.00%,0.00%
"2,10 / 5",364,364,364,364,364,364,364,364,364,364,364,364,162,202,0,202,0,162,0,0,nan%,44.51%,55.49%,44.51%,55.49%,0.00%,0.00%,0.00%
"2,10 / 6",338,338,338,338,338,338,338,338,338,338,338,338,136,202,0,202,0,136,0,0,nan%,40.24%,59.76%,40.24%,59.76%,0.00%,0.00%,0.00%
"2,10 / 7",392,392,392,392,392,392,392,392,392,392,392,392,140,221,86,31,190,54,0,31,nan%,35.71%,56.38%,13.78%,7.91%,48.47%,0.00%,7.91%
"2,10 / 8",385,385,385,385,385,385,385,385,385,385,385,385,137,215,79,51,164,58,0,33,nan%,35.58%,55.84%,15.06%,13.25%,42.60%,0.00%,8.57%
"2,10 / 9",355,355,355,355,355,355,355,355,355,355,355,355,104,230,65,48,182,39,0,21,nan%,29.30%,64.79%,10.99%,13.52%,51.27%,0.00%,5.92%
"2,11 / 10",379,379,379,379,379,379,379,379,379,379,379,379,139,205,89,87,118,50,0,35,nan%,36.68%,54.09%,13.19%,22.96%,31.13%,0.00%,9.23%
"2,11 / 11",77,77,77,77,77,77,77,77,77,77,77,77,31,39,16,20,19,15,0,7,nan%,40.26%,50.65%,19.48%,25.97%,24.68%,0.00%,9.09%
"2,11 / 2",72,72,72,72,72,72,72,72,72,72,72,72,37,30,10,27,3,27,0,5,nan%,51.39%,41.67%,37.50%,37.50%,4.17%,0.00%,6.94%
"2,11 / 3",88,88,88,88,88,88,88,88,88,88,88,88,46,36,8,34,2,38,0,6,nan%,52.27%,40.91%,43.18%,38.64%,2.27%,0.00%,6.82%
"2,11 / 4",89,89,89,89,89,89,89,89,89,89,89,89,43,41,12,41,0,31,0,5,nan%,48.31%,46.07%,34.83%,46.07%,0.00%,0.00%,5.62%
"2,11 / 5",88,88,88,88,88,88,88,88,88,88,88,88,42,41,7,41,0,35,0,5,nan%,47.73%,46.59%,39.77%,46.59%,0.00%,0.00%,5.68%
"2,11 / 6",85,85,85,85,85,85,85,85,85,85,85,85,42,41,11,41,0,31,0,2,nan%,49.41%,48.24%,36.47%,48.24%,0.00%,0.00%,2.35%
"2,11 / 7",87,87,87,87,87,87,87,87,87,87,87,87,38,46,24,9,37,14,0,3,nan%,43.68%,52.87%,16.09%,10.34%,42.53%,0.00%,3.45%
"2,11 / 8",95,95,95,95,95,95,95,95,95,95,95,95,44,41,27,7,34,17,0,10,nan%,46.32%,43.16%,17.89%,7.37%,35.79%,0.00%,10.53%
"2,11 / 9",77,77,77,77,77,77,77,77,77,77,77,77,28,44,16,12,32,12,0,5,nan%,36.36%,57.14%,15.58%,15.58%,41.56%,0.00%,6.49%
"2,2 / 10",183,183,183,183,183,183,183,183,183,183,183,183,51,111,25,37,74,26,0,21,nan%,27.87%,60.66%,14.21%,20.22%,40.44%,0.00%,11.48%
"2,2 / 11",59,59,59,59,59,59,59,59,59,59,59,59,13,41,4,20,21,9,0,5,nan%,22.03%,69.49%,15.25%,33.90%,35.59%,0.00%,8.47%
"2,2 / 2",83,83,83,83,83,83,83,83,83,83,83,83,32,44,8,39,5,24,0,7,nan%,38.55%,53.01%,28.92%,46.99%,6.02%,0.00%,8.43%
"2,2 / 3",79,79,79,79,79,79,79,79,79,79,79,79,41,34,7,28,6,34,0,4,nan%,51.90%,43.04%,43.04%,35.44%,7.59%,0.00%,5.06%
"2,2 / 4",86,86,86,86,86,86,86,86,86,86,86,86,40,44,6,44,0,34,0,2,nan%,46.51%,51.16%,39.53%,51.16%,0.00%,0.00%,2.33%
"2,2 / 5",84,84,84,84,84,84,84,84,84,84,84,84,57,25,2,25,0,55,0,2,nan%,67.86%,29.76%,65.48%,29.76%,0.00%,0.00%,2.38%
"2,2 / 6",88,88,88,88,88,88,88,88,88,88,88,88,50,34,6,34,0,44,0,4,nan%,56.82%,38.64%,50.00%,38.64%,0.00%,0.00%,4.55%
"2,2 / 7",101,101,101,101,101,101,101,101,101,101,101,101,46,48,26,12,36,20,0,7,nan%,45.54%,47.52%,19.80%,11.88%,35.64%,0.00%,6.93%
"2,2 / 8",39,39,39,39,39,39,39,39,39,39,39,39,15,20,9,1,19,6,0,4,nan%,38.46%,51.28%,15.38%,2.56%,48.72%,0.00%,10.26%
"2,2 / 9",33,33,33,33,33,33,33,33,33,33,33,33,16,15,13,5,10,3,0,2,nan%,48.48%,45.45%,9.09%,15.15%,30.30%,0.00%,6.06%
"2,3 / 10",386,386,386,386,386,386,386,386,386,386,386,386,114,241,62,76,165,52,0,31,nan%,29.53%,62.44%,13.47%,19.69%,42.75%,0.00%,8.03%
"2,3 / 11",90,90,90,90,90,90,90,90,90,90,90,90,28,55,14,22,33,14,0,7,nan%,31.11%,61.11%,15.56%,24.44%,36.67%,0.00%,7.78%
"2,3 / 2",94,94,94,94,94,94,94,94,94,94,94,94,45,45,7,44,1,38,0,4,nan%,47.87%,47.87%,40.43%,46.81%,1.06%,0.00%,4.26%
"2,3 / 3",105,105,105,105,105,105,105,105,105,105,105,105,41,61,7,57,4,34,0,3,nan%,39.05%,58.10%,32.38%,54.29%,3.81%,0.00%,2.86%
"2,3 / 4",96,96,96,96,96,96,96,96,96,96,96,96,48,47,7,47,0,41,0,1,nan%,50.00%,48.96%,42.71%,48.96%,0.00%,0.00%,1.04%
"2,3 / 5",80,80,80,80,80,80,80,80,80,80,80,80,42,37,3,37,0,39,0,1,nan%,52.50%,46.25%,48.75%,46.25%,0.00%,0.00%,1.25%
"2,3 / 6",94,94,94,94,94,94,94,94,94,94,94,94,40,53,3,53,0,37,0,1,nan%,42.55%,56.38%,39.36%,56.38%,0.00%,0.00%,1.06%
"2,3 / 7",85,85,85,85,85,85,85,85,85,85,85,85,24,53,14,10,43,10,0,8,nan%,28.24%,62.35%,11.76%,11.76%,50.59%,0.00%,9.41%
"2,3 / 8",92,92,92,92,92,92,92,92,92,92,92,92,38,44,26,8,36,12,0,10,nan%,41.30%,47.83%,13.04%,8.70%,39.13%,0.00%,10.87%
"2,3 / 9",106,106,106,106,106,106,106,106,106,106,106,106,34,66,22,16,50,12,0,6,nan%,32.08%,62.26%,11.32%,15.09%,47.17%,0.00%,5.66%
"2,4 / 10",376,376,376,376,376,376,376,376,376,376,376,376,93,250,47,91,159,46,0,33,nan%,24.73%,66.49%,12.23%,24.20%,42.29%,0.00%,8.78%
"2,4 / 11",97,97,97,97,97,97,97,97,97,97,97,97,17,71,8,23,48,9,0,9,nan%,17.53%,73.20%,9.28%,23.71%,49.48%,0.00%,9.28%
"2,4 / 2",87,87,87,87,87,87,87,87,87,87,87,87,32,53,5,51,2,27,0,2,nan%,36.78%,60.92%,31.03%,58.62%,2.30%,0.00%,2.30%
"2,4 / 3",91,91,91,91,91,91,91,91,91,91,91,91,39,50,5,44,6,34,0,2,nan%,42.86%,54.95%,37.36%,48.35%,6.59%,0.00%,2.20%
"2,4 / 4",91,91,91,91,91,91,91,91,91,91,91,91,43,44,3,44,0,40,0,4,nan%,47.25%,48.35%,43.96%,48.35%,0.00%,0.00%,4.40%
"2,4 / 5",87,87,87,87,87,87,87,87,87,87,87,87,32,52,3,52,0,29,0,3,nan%,36.78%,59.77%,33.33%,59.77%,0.00%,0.00%,3.45%
"2,4 / 6",90,90,90,90,90,90,90,90,90,90,90,90,40,46,5,46,0,35,0,4,nan%,44.44%,51.11%,38.89%,51.11%,0.00%,0.00%,4.44%
"2,4 / 7",96,96,96,96,96,96,96,96,96,96,96,96,41,50,28,8,42,13,0,5,nan%,42.71%,52.08%,13.54%,8.33%,43.75%,0.00%,5.21%
"2,4 / 8",89,89,89,89,89,89,89,89,89,89,89,89,30,53,16,17,36,14,0,6,nan%,33.71%,59.55%,15.73%,19.10%,40.45%,0.00%,6.74%
"2,4 / 9",82,82,82,82,82,82,82,82,82,82,82,82,22,54,13,16,38,9,0,6,nan%,26.83%,65.85%,10.98%,19.51%,46.34%,0.00%,7.32%
"2,5 / 10",377,377,377,377,377,377,377,377,377,377,377,377,101,241,40,150,91,61,0,35,nan%,26.79%,63.93%,16.18%,39.79%,24.14%,0.00%,9.28%
"2,5 / 11",113,113,113,113,113,113,113,113,113,113,113,113,29,71,7,41,30,22,0,13,nan%,25.66%,62.83%,19.47%,36.28%,26.55%,0.00%,11.50%
"2,5 / 2",71,71,71,71,71,71,71,71,71,71,71,71,40,26,5,25,1,35,0,5,nan%,56.34%,36.62%,49.30%,35.21%,1.41%,0.00%,7.04%
"2,5 / 3",95,95,95,95,95,95,95,95,95,95,95,95,42,48,5,46,2,37,0,5,nan%,44.21%,50.53%,38.95%,48.42%,2.11%,0.00%,5.26%
"2,5 / 4",97,97,97,97,97,97,97,97,97,97,97,97,46,50,9,50,0,37,0,1,nan%,47.42%,51.55%,38.14%,51.55%,0.00%,0.00%,1.03%
"2,5 / 5",100,100,100,100,100,100,100,100,100,100,100,100,55,39,8,39,0,47,0,6,nan%,55.00%,39.00%,47.00%,39.00%,0.00%,0.00%,6.00%
"2,5 / 6",122,122,122,122,122,122,122,122,122,122,122,122,64,52,3,52,0,61,0,6,nan%,52.46%,42.62%,50.00%,42.62%,0.00%,0.00%,4.92%
"2,5 / 7",92,92,92,92,92,92,92,92,92,92,92,92,45,33,22,15,18,23,0,14,nan%,48.91%,35.87%,25.00%,16.30%,19.57%,0.00%,15.22%
"2,5 / 8",74,74,74,74,74,74,74,74,74,74,74,74,25,44,13,22,22,12,0,5,nan%,33.78%,59.46%,16.22%,29.73%,29.73%,0.00%,6.76%
"2,5 / 9",87,87,87,87,87,87,87,87,87,87,87,87,27,50,13,27,23,14,0,10,nan%,31.03%,57.47%,16.09%,31.03%,26.44%,0.00%,11.49%
"2,6 / 10",398,398,398,398,398,398,398,398,398,398,398,398,122,242,55,147,95,67,0,34,nan%,30.65%,60.80%,16.83%,36.93%,23.87%,0.00%,8.54%
"2,6 / 11",90,90,90,90,90,90,90,90,90,90,90,90,22,59,6,36,23,16,0,9,nan%,24.44%,65.56%,17.78%,40.00%,25.56%,0.00%,10.00%
"2,6 / 2",79,79,79,79,79,79,79,79,79,79,79,79,39,30,9,29,1,30,0,10,nan%,49.37%,37.97%,37.97%,36.71%,1.27%,0.00%,12.66%
"2,6 / 3",84,84,84,84,84,84,84,84,84,84,84,84,46,29,6,26,3,40,0,9,nan%,54.76%,34.52%,47.62%,30.95%,3.57%,0.00%,10.71%
"2,6 / 4",97,97,97,97,97,97,97,97,97,97,97,97,50,44,9,44,0,41,0,3,nan%,51.55%,45.36%,42.27%,45.36%,0.00%,0.00%,3.09%
"2,6 / 5",88,88,88,88,88,88,88,88,88,88,88,88,47,28,6,28,0,41,0,13,nan%,53.41%,31.82%,46.59%,31.82%,0.00%,0.00%,14.77%
"2,6 / 6",87,87,87,87,87,87,87,87,87,87,87,87,42,34,7,34,0,35,0,11,nan%,48.28%,39.08%,40.23%,39.08%,0.00%,0.00%,12.64%
"2,6 / 7",82,82,82,82,82,82,82,82,82,82,82,82,30,41,18,18,23,12,0,11,nan%,36.59%,50.00%,14.63%,21.95%,28.05%,0.00%,13.41%
"2,6 / 8",81,81,81,81,81,81,81,81,81,81,81,81,30,40,15,20,20,15,0,11,nan%,37.04%,49.38%,18.52%,24.69%,24.69%,0.00%,13.58%
"2,6 / 9",84,84,84,84,84,84,84,84,84,84,84,84,26,51,9,30,21,17,0,7,nan%,30.95%,60.71%,20.24%,35.71%,25.00%,0.00%,8.33%
"2,7 / 10",368,368,368,368,368,368,368,368,368,368,368,368,125,190,67,105,85,58,0,53,nan%,33.97%,51.63%,15.76%,28.53%,23.10%,0.00%,14.40%
"2,7 / 11",90,90,90,90,90,90,90,90,90,90,90,90,28,51,11,29,22,17,0,11,nan%,31.11%,56.67%,18.89%,32.22%,24.44%,0.00%,12.22%
"2,7 / 2",94,94,94,94,94,94,94,94,94,94,94,94,46,43,17,36,7,29,0,5,nan%,48.94%,45.74%,30.85%,38.30%,7.45%,0.00%,5.32%
"2,7 / 3",91,91,91,91,91,91,91,91,91,91,91,91,42,42,4,42,0,38,0,7,nan%,46.15%,46.15%,41.76%,46.15%,0.00%,0.00%,7.69%
"2,7 / 4",80,80,80,80,80,80,80,80,80,80,80,80,42,35,14,35,0,28,0,3,nan%,52.50%,43.75%,35.00%,43.75%,0.00%,0.00%,3.75%
"2,7 / 5",109,109,109,109,109,109,109,109,109,109,109,109,60,44,15,44,0,45,0,5,nan%,55.05%,40.37%,41.28%,40.37%,0.00%,0.00%,4.59%
"2,7 / 6",109,109,109,109,109,109,109,109,109,109,109,109,61,41,12,41,0,49,0,7,nan%,55.96%,37.61%,44.95%,37.61%,0.00%,0.00%,6.42%
"2,7 / 7",92,92,92,92,92,92,92,92,92,92,92,92,45,39,32,16,23,13,0,8,nan%,48.91%,42.39%,14.13%,17.39%,25.00%,0.00%,8.70%
"2,7 / 8",88,88,88,88,88,88,88,88,88,88,88,88,44,35,32,13,22,12,0,9,nan%,50.00%,39.77%,13.64%,14.77%,25.00%,0.00%,10.23%
"2,7 / 9",93,93,93,93,93,93,93,93,93,93,93,93,35,42,21,27,15,14,0,16,nan%,37.63%,45.16%,15.05%,29.03%,16.13%,0.00%,17.20%
"2,8 / 10",391,391,391,391,391,391,391,391,391,391,391,391,152,182,83,96,86,69,0,57,nan%,38.87%,46.55%,17.65%,24.55%,21.99%,0.00%,14.58%
"2,8 / 11",101,101,101,101,101,101,101,101,101,101,101,101,40,50,21,33,17,19,0,11,nan%,39.60%,49.50%,18.81%,32.67%,16.83%,0.00%,10.89%
"2,8 / 2",88,88,88,88,88,88,88,88,88,88,88,88,46,34,18,34,0,28,0,8,nan%,52.27%,38.64%,31.82%,38.64%,0.00%,0.00%,9.09%
"2,8 / 3",91,91,91,91,91,91,91,91,91,91,91,91,59,28,22,28,0,37,0,4,nan%,64.84%,30.77%,40.66%,30.77%,0.00%,0.00%,4.40%
"2,8 / 4",96,96,96,96,96,96,96,96,96,96,96,96,53,35,18,35,0,35,0,8,nan%,55.21%,36.46%,36.46%,36.46%,0.00%,0.00%,8.33%
"2,8 / 5",89,89,89,89,89,89,89,89,89,89,89,89,53,29,15,29,0,38,0,7,nan%,59.55%,32.58%,42.70%,32.58%,0.00%,0.00%,7.87%
"2,8 / 6",93,93,93,93,93,93,93,93,93,93,93,93,60,31,13,31,0,47,0,2,nan%,64.52%,33.33%,50.54%,33.33%,0.00%,0.00%,2.15%
"2,8 / 7",102,102,102,102,102,102,102,102,102,102,102,102,57,31,33,31,0,24,0,14,nan%,55.88%,30.39%,23.53%,30.39%,0.00%,0.00%,13.73%
"2,8 / 8",109,109,109,109,109,109,109,109,109,109,109,109,56,44,30,44,0,26,0,9,nan%,51.38%,40.37%,23.85%,40.37%,0.00%,0.00%,8.26%
"2,8 / 9",87,87,87,87,87,87,87,87,87,87,87,87,45,37,24,37,0,21,0,5,nan%,51.72%,42.53%,24.14%,42.53%,0.00%,0.00%,5.75%
"2,9 / 10",346,346,346,346,346,346,346,346,346,346,346,346,158,161,80,161,0,78,0,27,nan%,45.66%,46.53%,22.54%,46.53%,0.00%,0.00%,7.80%
"2,9 / 11",90,90,90,90,90,90,90,90,90,90,90,90,44,33,24,33,0,20,0,13,nan%,48.89%,36.67%,22.22%,36.67%,0.00%,0.00%,14.44%
"2,9 / 2",85,85,85,85,85,85,85,85,85,85,85,85,47,33,20,33,0,27,0,5,nan%,55.29%,38.82%,31.76%,38.82%,0.00%,0.00%,5.88%
"2,9 / 3",82,82,82,82,82,82,82,82,82,82,82,82,44,27,18,27,0,26,0,11,nan%,53.66%,32.93%,31.71%,32.93%,0.00%,0.00%,13.41%
"2,9 / 4",102,102,102,102,102,102,102,102,102,102,102,102,53,41,14,41,0,39,0,8,nan%,51.96%,40.20%,38.24%,40.20%,0.00%,0.00%,7.84%
"2,9 / 5",92,92,92,92,92,92,92,92,92,92,92,92,51,32,20,32,0,31,0,9,nan%,55.43%,34.78%,33.70%,34.78%,0.00%,0.00%,9.78%
"2,9 / 6",84,84,84,84,84,84,84,84,84,84,84,84,49,31,12,31,0,37,0,4,nan%,58.33%,36.90%,44.05%,36.90%,0.00%,0.00%,4.76%
"2,9 / 7",71,71,71,71,71,71,71,71,71,71,71,71,44,21,22,21,0,22,0,6,nan%,61.97%,29.58%,30.99%,29.58%,0.00%,0.00%,8.45%
"2,9 / 8",84,84,84,84,84,84,84,84,84,84,84,84,34,42,19,42,0,15,0,8,nan%,40.48%,50.00%,17.86%,50.00%,0.00%,0.00%,9.52%
"2,9 / 9",87,87,87,87,87,87,87,87,87,87,87,87,42,42,22,42,0,20,0,3,nan%,48.28%,48.28%,22.99%,48.28%,0.00%,0.00%,3.45%
"3,10 / 10",1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,1501,349,1031,202,254,777,147,0,121,nan%,23.25%,68.69%,9.79%,16.92%,51.77%,0.00%,8.06%
"3,10 / 11",358,358,358,358,358,358,358,358,358,358,358,358,64,253,27,68,185,37,0,41,nan%,17.88%,70.67%,10.34%,18.99%,51.68%,0.00%,11.45%
"3,10 / 2",364,364,364,364,364,364,364,364,364,364,364,364,141,223,0,223,0,141,0,0,nan%,38.74%,61.26%,38.74%,61.26%,0.00%,0.00%,0.00%
"3,10 / 3",369,369,369,369,369,369,369,369,369,369,369,369,152,217,0,217,0,152,0,0,nan%,41.19%,58.81%,41.19%,58.81%,0.00%,0.00%,0.00%
"3,10 / 4",375,375,375,375,375,375,375,375,375,375,375,375,148,227,0,227,0,148,0,0,nan%,39.47%,60.53%,39.47%,60.53%,0.00%,0.00%,0.00%
"3,10 / 5",340,340,340,340,340,340,340,340,340,340,340,340,135,205,0,205,0,135,0,0,nan%,39.71%,60.29%,39.71%,60.29%,0.00%,0.00%,0.00%
"3,10 / 6",362,362,362,362,362,362,362,362,362,362,362,362,143,219,0,219,0,143,0,0,nan%,39.50%,60.50%,39.50%,60.50%,0.00%,0.00%,0.00%
"3,10 / 7",377,377,377,377,377,377,377,377,377,377,377,377,125,232,82,26,206,43,0,20,nan%,33.16%,61.54%,11.41%,6.90%,54.64%,0.00%,5.31%
"3,10 / 8",376,376,376,376,376,376,376,376,376,376,376,376,113,234,76,47,187,37,0,29,nan%,30.05%,62.23%,9.84%,12.50%,49.73%,0.00%,7.71%
"3,10 / 9",360,360,360,360,360,360,360,360,360,360,360,360,97,228,63,47,181,34,0,35,nan%,26.94%,63.33%,9.44%,13.06%,50.28%,0.00%,9.72%
"3,11 / 10",373,373,373,373,373,373,373,373,373,373,373,373,147,182,84,66,116,63,0,44,nan%,39.41%,48.79%,16.89%,17.69%,31.10%,0.00%,11.80%
"3,11 / 11",94,94,94,94,94,94,94,94,94,94,94,94,36,47,16,17,30,20,0,11,nan%,38.30%,50.00%,21.28%,18.09%,31.91%,0.00%,11.70%
"3,11 / 2",106,106,106,106,106,106,106,106,106,106,106,106,41,59,7,57,2,34,0,6,nan%,38.68%,55.66%,32.08%,53.77%,1.89%,0.00%,5.66%
"3,11 / 3",100,100,100,100,100,100,100,100,100,100,100,100,56,37,12,33,4,44,0,7,nan%,56.00%,37.00%,44.00%,33.00%,4.00%,0.00%,7.00%
"3,11 / 4",76,76,76,76,76,76,76,76,76,76,76,76,40,31,6,31,0,34,0,5,nan%,52.63%,40.79%,44.74%,40.79%,0.00%,0.00%,6.58%
"3,11 / 5",97,97,97,97,97,97,97,97,97,97,97,97,49,43,6,43,0,43,0,5,nan%,50.52%,44.33%,44.33%,44.33%,0.00%,0.00%,5.15%
"3,11 / 6",102,102,102,102,102,102,102,102,102,102,102,102,50,49,15,49,0,35,0,3,nan%,49.02%,48.04%,34.31%,48.04%,0.00%,0.00%,2.94%
"3,11 / 7",96,96,96,96,96,96,96,96,96,96,96,96,52,36,28,10,26,24,0,8,nan%,54.17%,37.50%,25.00%,10.42%,27.08%,0.00%,8.33%
"3,11 / 8",79,79,79,79,79,79,79,79,79,79,79,79,31,38,25,10,28,6,0,10,nan%,39.24%,48.10%,7.59%,12.66%,35.44%,0.00%,12.66%
"3,11 / 9",98,98,98,98,98,98,98,98,98,98,98,98,40,46,25,14,32,15,0,12,nan%,40.82%,46.94%,15.31%,14.29%,32.65%,0.00%,12.24%
"3,3 / 10",180,180,180,180,180,180,180,180,180,180,180,180,46,113,22,36,77,24,0,21,nan%,25.56%,62.78%,13.33%,20.00%,42.78%,0.00%,11.67%
"3,3 / 11",49,49,49,49,49,49,49,49,49,49,49,49,10,34,5,15,19,5,0,5,nan%,20.41%,69.39%,10.20%,30.61%,38.78%,0.00%,10.20%
"3,3 / 2",91,91,91,91,91,91,91,91,91,91,91,91,42,45,6,42,3,36,0,4,nan%,46.15%,49.45%,39.56%,46.15%,3.30%,0.00%,4.40%
"3,3 / 3",96,96,96,96,96,96,96,96,96,96,96,96,50,40,8,38,2,42,0,6,nan%,52.08%,41.67%,43.75%,39.58%,2.08%,0.00%,6.25%
"3,3 / 4",81,81,81,81,81,81,81,81,81,81,81,81,35,45,5,45,0,30,0,1,nan%,43.21%,55.56%,37.04%,55.56%,0.00%,0.00%,1.23%
"3,3 / 5",116,116,116,116,116,116,116,116,116,116,116,116,53,59,2,59,0,51,0,4,nan%,45.69%,50.86%,43.97%,50.86%,0.00%,0.00%,3.45%
