"Hand (1st,2nd / Dealer's)",Current Money,Player Totals,Dealer Totals,Player 1st Card,Player 2nd Card,Dealer 1st Card,Dealer 2nd Card,Hit Count,Outcome,Double,Split,Player Hand,Overall Win,Overall Loss,Win Only,Loss Only,Bust,Dealer Bust,Blackjack,Push,Win Only %,Overall Win %,Overall Loss %,Dealer Bust %,Loss Only %,Bust %,Blackjack %,Push %
"5,6 / 11",92,92,92,92,92,92,92,92,92,92,92,92,46,40,15,40,0,31,0,6,nan%,50.00%,43.48%,33.70%,43.48%,0.00%,0.00%,6.52%
"5,6 / 2",99,99,99,99,99,99,99,99,99,99,99,99,59,30,21,30,0,38,0,10,nan%,59.60%,30.30%,38.38%,30.30%,0.00%,0.00%,10.10%
"5,6 / 3",104,104,104,104,104,104,104,104,104,104,104,104,62,34,21,34,0,41,0,8,nan%,59.62%,32.69%,39.42%,32.69%,0.00%,0.00%,7.69%
"5,6 / 4",81,81,81,81,81,81,81,81,81,81,81,81,49,29,22,29,0,27,0,3,nan%,60.49%,35.80%,33.33%,35.80%,0.00%,0.00%,3.70%
"5,6 / 5",85,85,85,85,85,85,85,85,85,85,85,85,51,26,16,26,0,35,0,8,nan%,60.00%,30.59%,41.18%,30.59%,0.00%,0.00%,9.41%
"5,6 / 6",85,85,85,85,85,85,85,85,85,85,85,85,48,34,15,34,0,33,0,3,nan%,56.47%,40.00%,38.82%,40.00%,0.00%,0.00%,3.53%
"5,6 / 7",80,80,80,80,80,80,80,80,80,80,80,80,43,28,20,28,0,23,0,9,nan%,53.75%,35.00%,28.75%,35.00%,0.00%,0.00%,11.25%
"5,6 / 8",74,74,74,74,74,74,74,74,74,74,74,74,42,25,24,25,0,18,0,7,nan%,56.76%,33.78%,24.32%,33.78%,0.00%,0.00%,9.46%
"5,6 / 9",96,96,96,96,96,96,96,96,96,96,96,96,47,46,26,46,0,21,0,3,nan%,48.96%,47.92%,21.88%,47.92%,0.00%,0.00%,3.12%
"5,7 / 10",392,392,392,392,392,392,392,392,392,392,392,392,98,259,46,67,192,52,0,35,nan%,25.00%,66.07%,13.27%,17.09%,48.98%,0.00%,8.93%
"5,7 / 11",113,113,113,113,113,113,113,113,113,113,113,113,25,74,10,22,52,15,0,14,nan%,22.12%,65.49%,13.27%,19.47%,46.02%,0.00%,12.39%
"5,7 / 2",95,95,95,95,95,95,95,95,95,95,95,95,38,49,15,18,31,23,0,8,nan%,40.00%,51.58%,24.21%,18.95%,32.63%,0.00%,8.42%
"5,7 / 3",86,86,86,86,86,86,86,86,86,86,86,86,31,48,6,20,28,25,0,7,nan%,36.05%,55.81%,29.07%,23.26%,32.56%,0.00%,8.14%
"5,7 / 4",106,106,106,106,106,106,106,106,106,106,106,106,38,68,0,68,0,38,0,0,nan%,35.85%,64.15%,35.85%,64.15%,0.00%,0.00%,0.00%
"5,7 / 5",91,91,91,91,91,91,91,91,91,91,91,91,44,47,0,47,0,44,0,0,nan%,48.35%,51.65%,48.35%,51.65%,0.00%,0.00%,0.00%
"5,7 / 6",105,105,105,105,105,105,105,105,105,105,105,105,41,64,0,64,0,41,0,0,nan%,39.05%,60.95%,39.05%,60.95%,0.00%,0.00%,0.00%
"5,7 / 7",84,84,84,84,84,84,84,84,84,84,84,84,36,44,21,3,41,15,0,4,nan%,42.86%,52.38%,17.86%,3.57%,48.81%,0.00%,4.76%
"5,7 / 8",89,89,89,89,89,89,89,89,89,89,89,89,22,59,13,11,48,9,0,8,nan%,24.72%,66.29%,10.11%,12.36%,53.93%,0.00%,8.99%
"5,7 / 9",98,98,98,98,98,98,98,98,98,98,98,98,23,66,12,16,50,11,0,9,nan%,23.47%,67.35%,11.22%,16.33%,51.02%,0.00%,9.18%
"5,8 / 10",369,369,369,369,369,369,369,369,369,369,369,369,78,268,40,62,206,38,0,23,nan%,21.14%,72.63%,10.30%,16.80%,55.83%,0.00%,6.23%
"5,8 / 11",91,91,91,91,91,91,91,91,91,91,91,91,21,64,6,12,52,15,0,6,nan%,23.08%,70.33%,16.48%,13.19%,57.14%,0.00%,6.59%
"5,8 / 2",101,101,101,101,101,101,101,101,101,101,101,101,32,69,0,69,0,32,0,0,nan%,31.68%,68.32%,31.68%,68.32%,0.00%,0.00%,0.00%
"5,8 / 3",99,99,99,99,99,99,99,99,99,99,99,99,35,64,0,64,0,35,0,0,nan%,35.35%,64.65%,35.35%,64.65%,0.00%,0.00%,0.00%
"5,8 / 4",103,103,103,103,103,103,103,103,103,103,103,103,44,59,0,59,0,44,0,0,nan%,42.72%,57.28%,42.72%,57.28%,0.00%,0.00%,0.00%
"5,8 / 5",102,102,102,102,102,102,102,102,102,102,102,102,47,55,0,55,0,47,0,0,nan%,46.08%,53.92%,46.08%,53.92%,0.00%,0.00%,0.00%
"5,8 / 6",84,84,84,84,84,84,84,84,84,84,84,84,32,52,0,52,0,32,0,0,nan%,38.10%,61.90%,38.10%,61.90%,0.00%,0.00%,0.00%
"5,8 / 7",106,106,106,106,106,106,106,106,106,106,106,106,41,60,27,9,51,14,0,5,nan%,38.68%,56.60%,13.21%,8.49%,48.11%,0.00%,4.72%
"5,8 / 8",89,89,89,89,89,89,89,89,89,89,89,89,28,59,17,7,52,11,0,2,nan%,31.46%,66.29%,12.36%,7.87%,58.43%,0.00%,2.25%
"5,8 / 9",103,103,103,103,103,103,103,103,103,103,103,103,25,70,12,18,52,13,0,8,nan%,24.27%,67.96%,12.62%,17.48%,50.49%,0.00%,7.77%
"5,9 / 10",366,366,366,366,366,366,366,366,366,366,366,366,67,269,36,76,193,31,0,30,nan%,18.31%,73.50%,8.47%,20.77%,52.73%,0.00%,8.20%
"5,9 / 11",78,78,78,78,78,78,78,78,78,78,78,78,17,58,8,14,44,9,0,3,nan%,21.79%,74.36%,11.54%,17.95%,56.41%,0.00%,3.85%
"5,9 / 2",104,104,104,104,104,104,104,104,104,104,104,104,44,60,0,60,0,44,0,0,nan%,42.31%,57.69%,42.31%,57.69%,0.00%,0.00%,0.00%
"5,9 / 3",102,102,102,102,102,102,102,102,102,102,102,102,35,67,0,67,0,35,0,0,nan%,34.31%,65.69%,34.31%,65.69%,0.00%,0.00%,0.00%
"5,9 / 4",88,88,88,88,88,88,88,88,88,88,88,88,30,58,0,58,0,30,0,0,nan%,34.09%,65.91%,34.09%,65.91%,0.00%,0.00%,0.00%
"5,9 / 5",88,88,88,88,88,88,88,88,88,88,88,88,38,50,0,50,0,38,0,0,nan%,43.18%,56.82%,43.18%,56.82%,0.00%,0.00%,0.00%
"5,9 / 6",78,78,78,78,78,78,78,78,78,78,78,78,36,42,0,42,0,36,0,0,nan%,46.15%,53.85%,46.15%,53.85%,0.00%,0.00%,0.00%
"5,9 / 7",88,88,88,88,88,88,88,88,88,88,88,88,23,56,13,4,52,10,0,9,nan%,26.14%,63.64%,11.36%,4.55%,59.09%,0.00%,10.23%
"5,9 / 8",99,99,99,99,99,99,99,99,99,99,99,99,28,63,17,7,56,11,0,8,nan%,28.28%,63.64%,11.11%,7.07%,56.57%,0.00%,8.08%
"5,9 / 9",73,73,73,73,73,73,73,73,73,73,73,73,18,48,9,7,41,9,0,7,nan%,24.66%,65.75%,12.33%,9.59%,56.16%,0.00%,9.59%
"6,10 / 10",1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,1459,254,1119,150,193,926,104,0,86,nan%,17.41%,76.70%,7.13%,13.23%,63.47%,0.00%,5.89%
"6,10 / 11",329,329,329,329,329,329,329,329,329,329,329,329,64,251,27,46,205,37,0,14,nan%,19.45%,76.29%,11.25%,13.98%,62.31%,0.00%,4.26%
"6,10 / 2",354,354,354,354,354,354,354,354,354,354,354,354,127,227,0,227,0,127,0,0,nan%,35.88%,64.12%,35.88%,64.12%,0.00%,0.00%,0.00%
"6,10 / 3",356,356,356,356,356,356,356,356,356,356,356,356,150,206,0,206,0,150,0,0,nan%,42.13%,57.87%,42.13%,57.87%,0.00%,0.00%,0.00%
"6,10 / 4",382,382,382,382,382,382,382,382,382,382,382,382,141,241,0,241,0,141,0,0,nan%,36.91%,63.09%,36.91%,63.09%,0.00%,0.00%,0.00%
"6,10 / 5",351,351,351,351,351,351,351,351,351,351,351,351,149,202,0,202,0,149,0,0,nan%,42.45%,57.55%,42.45%,57.55%,0.00%,0.00%,0.00%
"6,10 / 6",359,359,359,359,359,359,359,359,359,359,359,359,151,208,0,208,0,151,0,0,nan%,42.06%,57.94%,42.06%,57.94%,0.00%,0.00%,0.00%
"6,10 / 7",364,364,364,364,364,364,364,364,364,364,364,364,93,248,55,26,222,38,0,23,nan%,25.55%,68.13%,10.44%,7.14%,60.99%,0.00%,6.32%
"6,10 / 8",372,372,372,372,372,372,372,372,372,372,372,372,105,246,55,25,221,50,0,21,nan%,28.23%,66.13%,13.44%,6.72%,59.41%,0.00%,5.65%
"6,10 / 9",357,357,357,357,357,357,357,357,357,357,357,357,76,258,49,35,223,27,0,23,nan%,21.29%,72.27%,7.56%,9.80%,62.46%,0.00%,6.44%
"6,11 / 10",349,349,349,349,349,349,349,349,349,349,349,349,114,199,59,128,71,55,0,36,nan%,32.66%,57.02%,15.76%,36.68%,20.34%,0.00%,10.32%
"6,11 / 11",83,83,83,83,83,83,83,83,83,83,83,83,23,53,12,27,26,11,0,7,nan%,27.71%,63.86%,13.25%,32.53%,31.33%,0.00%,8.43%
"6,11 / 2",97,97,97,97,97,97,97,97,97,97,97,97,42,41,6,37,4,36,0,14,nan%,43.30%,42.27%,37.11%,38.14%,4.12%,0.00%,14.43%
"6,11 / 3",82,82,82,82,82,82,82,82,82,82,82,82,42,36,2,36,0,40,0,4,nan%,51.22%,43.90%,48.78%,43.90%,0.00%,0.00%,4.88%
"6,11 / 4",78,78,78,78,78,78,78,78,78,78,78,78,37,37,9,37,0,28,0,4,nan%,47.44%,47.44%,35.90%,47.44%,0.00%,0.00%,5.13%
"6,11 / 5",93,93,93,93,93,93,93,93,93,93,93,93,53,35,11,35,0,42,0,5,nan%,56.99%,37.63%,45.16%,37.63%,0.00%,0.00%,5.38%
"6,11 / 6",105,105,105,105,105,105,105,105,105,105,105,105,64,33,10,33,0,54,0,8,nan%,60.95%,31.43%,51.43%,31.43%,0.00%,0.00%,7.62%
"6,11 / 7",79,79,79,79,79,79,79,79,79,79,79,79,34,29,17,11,18,17,0,16,nan%,43.04%,36.71%,21.52%,13.92%,22.78%,0.00%,20.25%
"6,11 / 8",91,91,91,91,91,91,91,91,91,91,91,91,40,44,23,26,18,17,0,7,nan%,43.96%,48.35%,18.68%,28.57%,19.78%,0.00%,7.69%
"6,11 / 9",84,84,84,84,84,84,84,84,84,84,84,84,37,36,24,19,17,13,0,11,nan%,44.05%,42.86%,15.48%,22.62%,20.24%,0.00%,13.10%
"6,6 / 10",171,171,171,171,171,171,171,171,171,171,171,171,41,117,22,36,81,19,0,13,nan%,23.98%,68.42%,11.11%,21.05%,47.37%,0.00%,7.60%
"6,6 / 11",46,46,46,46,46,46,46,46,46,46,46,46,9,36,4,11,25,5,0,1,nan%,19.57%,78.26%,10.87%,23.91%,54.35%,0.00%,2.17%
"6,6 / 2",66,66,66,66,66,66,66,66,66,66,66,66,34,30,2,30,0,32,0,2,nan%,51.52%,45.45%,48.48%,45.45%,0.00%,0.00%,3.03%
"6,6 / 3",86,86,86,86,86,86,86,86,86,86,86,86,38,44,3,42,2,35,0,4,nan%,44.19%,51.16%,40.70%,48.84%,2.33%,0.00%,4.65%
"6,6 / 4",96,96,96,96,96,96,96,96,96,96,96,96,51,42,5,42,0,46,0,3,nan%,53.12%,43.75%,47.92%,43.75%,0.00%,0.00%,3.12%
"6,6 / 5",90,90,90,90,90,90,90,90,90,90,90,90,51,36,5,36,0,46,0,3,nan%,56.67%,40.00%,51.11%,40.00%,0.00%,0.00%,3.33%
"6,6 / 6",104,104,104,104,104,104,104,104,104,104,104,104,50,54,10,54,0,40,0,0,nan%,48.08%,51.92%,38.46%,51.92%,0.00%,0.00%,0.00%
"6,6 / 7",50,50,50,50,50,50,50,50,50,50,50,50,18,28,8,1,27,10,0,4,nan%,36.00%,56.00%,20.00%,2.00%,54.00%,0.00%,8.00%
